Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-05 00:00:00-04:00,276.4774950160914,280.9344133566799,276.0119934470579,280.2015075683594,16774600,0.0,0.0
2022-08-08 00:00:00-04:00,281.3305620435328,283.1826845060335,276.6458652615767,277.63629150390625,18739200,0.0,0.0
2022-08-09 00:00:00-04:00,276.96281330859574,280.36985182890123,274.9522189883651,279.5973205566406,23405200,0.0,0.0
2022-08-10 00:00:00-04:00,285.41118067990635,287.03546421141357,284.1929453622153,286.3916931152344,24687800,0.0,0.0
2022-08-11 00:00:00-04:00,288.0655055506153,288.42204452298085,283.7670588842009,284.27215576171875,20065900,0.0,0.0
2022-08-12 00:00:00-04:00,285.71820135428254,289.1153564453125,284.19293632804767,289.1153564453125,22619700,0.0,0.0
2022-08-15 00:00:00-04:00,288.21404628019246,291.36359458338245,287.3325523864646,290.660400390625,18085700,0.0,0.0
2022-08-16 00:00:00-04:00,289.1945761552877,291.22496827918656,287.63962977919573,289.9076843261719,18102900,0.0,0.0
2022-08-17 00:00:00-04:00,287.5752508538251,291.15829514921086,287.3072790137223,289.1434631347656,18253400,0.62,0.0
2022-08-18 00:00:00-04:00,288.02185382632496,289.72900409340036,286.9201314178451,288.00201416015625,17186200,0.0,0.0
2022-08-19 00:00:00-04:00,286.74150810884424,287.0888991787289,283.42646620078546,284.0120544433594,20570000,0.0,0.0
2022-08-22 00:00:00-04:00,279.97243998042103,280.34960567564923,275.1487657677258,275.6748046875,25061100,0.0,0.0
2022-08-23 00:00:00-04:00,274.3746337890625,276.77653625934863,273.3423954692451,274.3746337890625,17527400,0.0,0.0
2022-08-24 00:00:00-04:00,273.35232644407864,275.15873590490133,273.05454966737,273.7294921875,18137000,0.0,0.0
2022-08-25 00:00:00-04:00,275.25796908150596,276.9353449957151,272.4689658775522,276.7666320800781,16583400,0.0,0.0
2022-08-26 00:00:00-04:00,276.99488592838054,278.24548173635895,265.97784200130405,266.0870056152344,27549300,0.0,0.0
2022-08-29 00:00:00-04:00,263.8637454799429,265.4021527589019,261.87868819634673,263.2483825683594,20338500,0.0,0.0
2022-08-30 00:00:00-04:00,264.67761698557416,265.05475241303793,258.7125103641777,261.0052490234375,22767100,0.0,0.0
2022-08-31 00:00:00-04:00,263.4071743348763,265.1142944141645,259.37748043444304,259.5164489746094,24791800,0.0,0.0
2022-09-01 00:00:00-04:00,256.935900071956,258.94082743400776,253.50175924636773,258.4544677734375,23263400,0.0,0.0
2022-09-02 00:00:00-04:00,259.74474157652935,262.7620066521078,252.56874903682092,254.14686584472656,22855400,0.0,0.0
2022-09-06 00:00:00-04:00,254.28583582412352,255.9036319759074,250.05765435551564,251.3578643798828,21328200,0.0,0.0
2022-09-07 00:00:00-04:00,252.79704116814474,256.8961741462281,251.32810302387222,256.1617126464844,24126700,0.0,0.0
2022-09-08 00:00:00-04:00,255.58606761633177,258.4842343718415,252.8863732763806,256.5885009765625,20319900,0.0,0.0
2022-09-09 00:00:00-04:00,258.55369563774946,263.2483667353398,258.34527311658707,262.4841003417969,22084700,0.0,0.0
2022-09-12 00:00:00-04:00,263.7942199069024,265.4517558066187,263.1788570916577,264.65771484375,18747700,0.0,0.0
2022-09-13 00:00:00-04:00,256.90609629236394,258.4544384677392,249.71026402350455,250.10728454589844,33353300,0.0,0.0
2022-09-14 00:00:00-04:00,251.63578136610107,252.33054837542113,247.99320312565135,250.3355712890625,23913000,0.0,0.0
2022-09-15 00:00:00-04:00,247.90387665410728,249.5216879997026,242.19683711221668,243.5466766357422,31530900,0.0,0.0
2022-09-16 00:00:00-04:00,242.43502861829512,243.46726683585698,240.25146874315425,242.9114532470703,39791800,0.0,0.0
2022-09-19 00:00:00-04:00,240.65839816511672,243.30844757002146,239.0505067642222,242.69308471679688,26826900,0.0,0.0
2022-09-20 00:00:00-04:00,240.2614144797893,241.69064299575734,237.849562016072,240.63856506347656,26660300,0.0,0.0
2022-09-21 00:00:00-04:00,242.4449627333761,245.80963404509697,237.11507391072192,237.16470336914062,28625600,0.0,0.0
2022-09-22 00:00:00-04:00,236.09277039742622,242.03802209207646,235.79502393683327,239.17953491210938,31061200,0.0,0.0
2022-09-23 00:00:00-04:00,237.75030181562656,239.3284338503444,233.44273118803758,236.1424102783203,34176000,0.0,0.0
2022-09-26 00:00:00-04:00,235.2788979546013,239.64601755656045,235.13000958387164,235.6759033203125,27694200,0.0,0.0
2022-09-27 00:00:00-04:00,238.18701127435872,239.99342061168232,232.74795873924361,234.64369201660156,27018700,0.0,0.0
2022-09-28 00:00:00-04:00,235.04069362432278,240.51945569680421,232.97623233404303,239.2688751220703,29029700,0.0,0.0
